time,x,v,u
2.3,1.3129626707440067,0.0027128938052516788,4.101378666971962
2.3499999999999996,1.3113214840494773,-0.068392306974419,3.9131034403496456
2.3999999999999995,1.3061227304206173,-0.13954573417993332,3.715047493031332
2.4499999999999993,1.2973705298059595,-0.21048756350493553,3.507705861739774
2.499999999999999,1.2850817749142511,-0.28096677921700103,3.291596792571765
2.549999999999999,1.2692856809305522,-0.3507415554615186,3.0672604456527974
2.5999999999999988,1.250023318033545,-0.41957956428937543,2.835257545018059
2.6499999999999986,1.2273471301743863,-0.4872582184727817,2.596167977094361
2.6999999999999984,1.2013204431857367,-0.5535648567074982,2.3505893412860726
2.7499999999999982,1.1720169649219023,-0.6182968783076667,2.0991354562878333
2.799999999999998,1.139520279788402,-0.6812618339897134,1.8424348258574872
2.849999999999998,1.103923339702411,-0.7422774788219366,1.581129067884006
2.8999999999999977,1.0653279532347892,-0.8011717928931541,1.315871310676915
2.9499999999999975,1.0238442744197658,-0.8577829747332052,1.0473245604856631
2.9999999999999973,0.9795902924795712,-0.9119594120054376,0.7761600443292842
3.049999999999997,0.9326913234978684,-0.9635596334911861,0.5030555322784191
3.099999999999997,0.8832795048869978,-1.0124522459025926,0.2286936433831148
3.149999999999997,0.8314932933289206,-1.0585158585962582,-0.046239860519300305
3.1999999999999966,0.7774769667272524,-1.101638998818898,-0.32105778885167097
3.2499999999999964,0.7213801305867391,-1.1417200196995883,-0.5950732399155767
3.2999999999999963,0.6633572291356675,-1.1786670028130628,-0.8676013177878458
3.349999999999996,0.6035670614246562,-1.2123976567760675,-1.1379608442036773
3.399999999999996,0.54217230257064,-1.242839213004847,-1.4054760611475507
3.4499999999999957,0.4793390302662052,-1.269928319456864,-1.669478319896338
3.4999999999999956,0.4152362566402942,-1.2936109329039398,-1.9293077522928863
3.5499999999999954,0.35003546553523385,-1.3138422100369584,-2.1843149200727563
3.599999999999995,0.28391015525562113,-1.3305863974836438,-2.4338624381216643
3.649999999999995,0.2170353868454064,-1.3438167206299862,-2.677326567606323
3.699999999999995,0.1495873379592022,-1.353515270971786,-2.9140987749966887
3.7499999999999947,0.08174286241108304,-1.3596728915844274,-3.143587253082867
3.7999999999999945,0.013679055507682475,-1.3622890601852022,-3.365218400184931
3.8499999999999943,-0.054427174698965755,-1.3613717691719418,-3.5784382538583968
3.899999999999994,-0.12239953007077728,-1.356937401953021,-3.7827138755118326
3.949999999999994,-0.19006273875155547,-1.349010604835471,-3.9775346824757927
3.999999999999994,-0.2572429650024426,-1.3376241537084996,-4.162413724193583
4.049999999999994,-0.3237682122253004,-1.3228188147476223,-4.336888899344052
4.099999999999993,-0.3894687188557281,-1.3046431983683353,-4.500524110854236
4.149999999999993,-0.45417734676926563,-1.2831536056762616,-4.652910355914935
4.199999999999993,-0.5177299618073956,-1.2584138666914817,-4.793666748274715
4.249999999999993,-0.5799658059948517,-1.2304951696668454,-4.922441470257192
4.299999999999993,-0.6407278609869904,-1.1994758808720039,-5.0389126521219865
4.3499999999999925,-0.69986320225605,-1.1654413542753381,-5.142789176571456
4.399999999999992,-0.7572233434983895,-1.1284837306235485,-5.2338114063923245
4.449999999999992,-0.8126645707216056,-1.0887017254921652,-5.311751833413502
4.499999999999992,-0.8660482654510271,-1.0462004059584358,-5.376415647158025
4.549999999999992,-0.9172412164796875,-1.001090955629828,-5.427641221767794
4.599999999999992,-0.9661159195746414,-0.9534904278456989,-5.46530051998405
4.6499999999999915,-1.0125508645455084,-0.9035214869555616,-5.489299413173834
4.699999999999991,-1.0564308090784618,-0.8513121376639097,-5.499577916602554
4.749999999999991,-1.0976470387405401,-0.7969954425179361,-5.496110339364581
4.799999999999991,-1.1360976125651168,-0.7407092276999308,-5.478905348597128
4.849999999999991,-1.1716875936395574,-0.6825957773700059,-5.44800594781693
4.899999999999991,-1.2043292641304286,-0.622801516886449,-5.403489369433839
4.94999999999999,-1.2339423241999716,-0.5614766853099197,-5.345466881710027
4.99999999999999,-1.2604540742897727,-0.49877499767339567,-5.2740835106472765
5.04999999999999,-1.283799580273473,-0.43485329757183766,-5.189517677497504
5.09999999999999,-1.3039218210097805,-0.3698712006936191,-5.091980752802549
5.14999999999999,-1.3207718178597612,-0.30399072997956195,-4.981716528077899
5.1999999999999895,-1.3343087457681786,-0.2373759431546869,-4.85900060646087
5.249999999999989,-1.3445000255472919,-0.1701925534323335,-4.724139713846286
